City,Country,Population,Area,country population,country area,country density,growth rate,2009 growth rate,2005-2010 growth rate,2010-2015 growth rate,2015-2020 growth rate
Tizi Ouzou,Algeria,142900,102.36,44177969.0,2381741.0,19.0,1.27,1.89,1.63,1.98,1.67
Wahran,Algeria,803300,2121.0,44177969.0,2381741.0,19.0,1.27,1.89,1.63,1.98,1.67
Wargla,Algeria,133000,,44177969.0,2381741.0,19.0,1.27,1.89,1.63,1.98,1.67
Benguela,Angola,561700,2332.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Caála,Angola,279700,1495.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Cabinda,Angola,624600,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Cubal,Angola,305600,561.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Dundo,Angola,177600,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Gabela,Angola,184700,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Huambo,Angola,713100,2711.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Kuito,Angola,450800,4814.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Lobito,Angola,393000,989.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Luanda,Angola,2571800,116.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Lubango,Angola,776200,3147.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Lucapa,Angola,154300,19300.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Luena,Angola,357400,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Malanje,Angola,506800,2215.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
M'banza-Kongo,Angola,180300,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Menongue,Angola,320900,23500.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
